source,target,regex,code
/how-to-ace-a-home-inspection-and-sell-your-home-fast/,/news/how-to-ace-a-home-inspection-and-sell-your-home-fast,0,301
/leaffilter-expands-nebraska/,/news/leaffilter-expands-nebraska,0,301
/leaffilter-announces-grand-opening-austin-texas/,/news/leaffilter-announces-grand-opening-austin-texas,0,301
/south-atlanta-68/,/news/south-atlanta-68,0,301
/category/water-solutions/page/3/,/blog/water-solutions,0,301
/category/leaffilter/page/5/,/blog,0,301
/leaffilter-named-to-2012-inc-5005000-list/,/news/leaffilter-named-to-2012-inc-5005000-list,0,301
/traverse-city-mi-85/,/news/traverse-city-mi-85,0,301
/castree-cgo/,/news/castree-cgo,0,301
/protecting-your-home-from-wildfire-how-leaffilter-by-leaf-home-can-help￼/,/news/protecting-your-home-from-wildfire-how-leaffilter-by-leaf-home-can-help￼,0,301
/st-acquisition-lhs/,/news/st-acquisition-lhs,0,301
/leaffilter-makes-inc-500-5000-list/,/news/leaffilter-makes-inc-500-5000-list,0,301
/tag/virginia/,/blog,0,301
/leaffilter-opening-memphis-office/,/news/leaffilter-opening-memphis-office,0,301
/leaffilter-made-america-event/,/news/leaffilter-made-america-event,0,301
/2022-inc-5000-lh/,/news/2022-inc-5000-lh,0,301
/leaffilter-attend-big-e-fair-massachusetts/,/news/leaffilter-attend-big-e-fair-massachusetts,0,301
/￼leaffilter-named-best-gutter-guard-of-2023-by-marketwatch/,/news/￼leaffilter-named-best-gutter-guard-of-2023-by-marketwatch,0,301
/the-future-of-performance-management/,/news/the-future-of-performance-management,0,301
/leaf-home-names-chief-financial-officer-former-rent-the-runway-cfo-scarlett-osullivan-joins-home-improvement-company/,/news/leaf-home-names-chief-financial-officer-former-rent-the-runway-cfo-scarlett-osullivan-joins-home-improvement-company,0,301
/opens-minnesota-office/,/news/opens-minnesota-office,0,301
/top-workplaces-2021-lhs/,/news/top-workplaces-2021-lhs,0,301
/leaffilter-gutter-protection-announces-new-president/,/news/leaffilter-gutter-protection-announces-new-president,0,301
/expands-to-long-island/,/news/expands-to-long-island,0,301
/expands-to-pacific-northwest/,/news/expands-to-pacific-northwest,0,301
/quad-cities-78/,/news/quad-cities-78,0,301
/2022-lh-april-office/,/news/2022-lh-april-office,0,301
/author/nmccauley/page/2/,/blog,0,301
/leaffilter-inc-5000-7th-straight-year/,/news/leaffilter-inc-5000-7th-straight-year,0,301
/leaf-home-hires-klarissa-marenitch-as-chief-information-officer/,/news/leaf-home-hires-klarissa-marenitch-as-chief-information-officer,0,301
/leaf-home-solutions-names-leaffilter-cso-chris-counahan-as-president-of-newly-launched-leaf-home-safety-solutions/,/news/leaf-home-solutions-names-leaffilter-cso-chris-counahan-as-president-of-newly-launched-leaf-home-safety-solutions,0,301
/leaf-home-adds-u-s-canadian-locations/,/news/leaf-home-adds-u-s-canadian-locations,0,301
/2021-top-500-list-lhs/,/news/2021-top-500-list-lhs,0,301
/watersurvey22/,/news/watersurvey22,0,301
/selected-to-2015-inc-500-5000-2/,/news/selected-to-2015-inc-500-5000-2,0,301
/the-home-improvement-experts-of-bob-vila-explore-gutter-guard-costs-featuring-leaffilter-by-leaf-home￼/,/news/the-home-improvement-experts-of-bob-vila-explore-gutter-guard-costs-featuring-leaffilter-by-leaf-home￼,0,301
/leaffilter-named-to-cleveland-plain-dealer-top-workplaces/,/news/leaffilter-named-to-cleveland-plain-dealer-top-workplaces,0,301
/leaf-home-solutions-blog-style-guide/,/blog,0,301
/springfield-mo-66/,/news/springfield-mo-66,0,301
/leaffilter-opens-new-office-denver-colorado/,/news/leaffilter-opens-new-office-denver-colorado,0,301
/author/mbeard/,/blog,0,301
/seven-new-offices-lhs/,/news/seven-new-offices-lhs,0,301
/tag/leaf-home/,/blog,0,301
/author/mbeard/page/5/,/blog,0,301
/author/mbeard/page/3/,/blog,0,301
/author/mbeard/page/2/,/blog,0,301
/tag/leaf-home/page/2/,/blog,0,301
